ID,Ссылка на страницу с игрой,Название игры,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание игры,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12
310,https://r-games.net/310-air-battle.html,AIR BATTLE,A.J. Zotov,,1988,БК0010,Аркада,1988,,,,Ваша задача - сбивать все вертолеты приближающиеся к вашей базе.,airbattlebk94ee.7z,,,,,,,,,,1484722096_1.png,1484722038_2.png,1484722115_3.png,1484722101_4.png,,,,,,,,
211,https://r-games.net/211-airwolf.html,AIRWOLF,Черников А. А.,TS Corp.,1992,БК0010,Леталка-Стрелялка,1992,,,,"Эта игра относится к классу ""летим, стреляем"", однако существенно отличается от большинства аналогичных игр тем, что ""поле боя"" занимает не всю площадь экрана, а всего лишь квадрат 128*84 точки, да еще к тому же с двухцветной графикой на этом экране ( вне используются все четыре цвета ). Вам предстоит долгий путь в пространственном лабиринте, в котором немало различных искуственных и естественных опасностей. Некоторые из встретившихся Вам преград Вы можете уничтожить. Если Вы поймаете пролетающую мимо звездочку, то можно поменять оружие. Тип оружия индицируется в двух рамках над игровым полем: слева - то, что Вы имеете; справа - то, что Вы можете взять, нажав кнопку ""ВЫБОР"", при этом старое оружие может исчезнуть. За каждые 10000 набранных очков Вам добавляется попытка. Игра состоит из 3-х файлов: загрузчика, заставки, и собственно игры. Счетчик не поставлен из-за ухудшения надежности считывания программы и для того, чтобы была возможна запись обычными копировщиками на повышенных скоростях. После окончания загрузки Вам будет представлена возможность выбрать себе клавиатуру и джойстик (внимание - после запуска игры повторный выбор невозможен). Управление от них параллельное. Для тех, кому не терпится пройти игру до конца, представлена возможность заблокировать счетчик попыток (нет нужды копаться в программе и выискивать нужные ячейки ). Для этого нужно удерживать СУ/U в момент окончания загрузки основного файла из загрузчика. Тех, кто в таких условиях пройдет игру менее чем за полчаса, можно считать неплохими игроками. Если у Вас есть джойстик, то автор настоятельно рекомендует играть именно на нем (однако при этом подчеркивает - ВСЕ ЛАБИРИНТЫ ИГРЫ ПРОХОДИМЫ С ЛЮБОГО МЕСТА И ДАЖЕ БЕЗ ОРУЖИЯ не только на джойстике, но и на клавиатуре - проверено опытом !). Если на Вашем джойстике 6 кнопок, то трудностей с заданием управления не предвидится, но если их только 5, то дело значительно усложняется (номер типа ""задать 5 кнопок и нажать на ""СТОП"" для перезапуска игры"" здесь не пройдет), поэтому рекомендую следующее: загрузить файл ""air2"" в какой-либо отладчик, допускающий загрузку программ с начальным адресом не выше 600 (например, MIRAGE), и вручную изменить ячейки памяти для управления джойстиком, причем в последнюю занести номер какого-либо не подключенного разряда или 0; записать файл на МЛ или диск; запустить его обычным способом и задать клавиатуру. После этого Вы сможете играть на джойстике, а кнопку ""ВЫБОР"" нажимать на клавиатуре. Адреса для задания управления (все в восьмеричной системе): Клавиша (ДВИЖЕНИЕ ВЛЕВО) - Адрес (5530) - Начальное значение (2) - Контакт порта (A24) Клавиша (ДВИЖЕНИЕ ВПРАВО) - Адрес (5532) - Начальное значение (1) - Контакт порта (B24) Клавиша (ДВИЖЕНИЕ ВВЕРХ) - Адрес (5534) - Начальное значение (4) - Контакт порта (B23) Клавиша (ДВИЖЕНИЕ ВНИЗ) - Адрес (5536) - Начальное значение (10) - Контакт порта (B17) Клавиша (ВЫСТРЕЛ) - Адрес (5540) - Начальное значение (20) - Контакт порта (B20) Клавиша (ВЫБОР) - Адрес (5542) - Начальное значение (40) - Контакт порта(А20) Например, если джойстик у Вас подключен по ИНФО, то вы должны записать, начиная с адреса 5530, следующие значения: 1000, 20, 2000,40, 1, 0 - для ДЖОЙСТИКА 1; 4000, 100, 10000, 200, 4, 0 - для ДЖОЙСТИКА 2.",airwolf4e21.zip,,,,,,,,,,1311657377_1.jpg,1311657409_2.jpg,1311657399_3.jpg,1311657375_4.jpg,,,,,,,,
99,https://r-games.net/99-alien-demo-bk0011m.html,ALIEN (ДЕМО) (БК0011М),,,,БК0011М,Реклама,,,,,По всей видимости реклама игры ALIEN.,alienreke0ce.zip,,,,,,,,,,1396001038_r-games.net_1.png,,,,,,,,,,,
627,https://r-games.net/627-aliens.html,ALIENS,Степанов В.В.,VSV Corp.,1995,БК0010,Лабиринт,1995,,,,"Пролог. Январь 2079 г. н.э. Холодный, безжалостный космос, словно бездонная бездна, хранил миллиарды тайн, которые человечество только начинало разгадывать. На окраине далекой галактики, затерянная в пустоте, существовала планета FENIX-17, имя которой словно предвещало ее суровый характер. Все планеты, носящие имя FENIX, славились своим экстремальным климатом. Их атмосфера, непригодная для дыхания, могла бы заморозить человека до смерти за считанные секунды, а поверхность - раскалить добела под палящими лучами далекого солнца.",aliensbk32a4.7z,,,,,,,,,,1340783301_1.jpg,1297249365_1.jpg,1297249748_2.jpg,1297249631_3.jpg,1297249333_4.jpg,,,,,,,
493,https://r-games.net/493-aliens-beysik.html,ALIENS (БЕЙСИК),"Юров Владислав, Бабешко Михаил",ANDROID,1990,БК0010-01 БЕЙСИК,Логическая,1990,Бабешко Михаил,,,"Ваша задача помочь 8 колонистам, высадившимся на планете, отгородиться от тварей, обитающих на ней.",aliensd4ef.zip,,,,,,,,,,1342093797_1.jpg,1297144628_2.jpg,1297144642_1.jpg,,,,,,,,,
212,https://r-games.net/212-alone.html,ALONE,DDV,DDV,1992,БК0010,Леталка-Стрелялка,1992.08.01,,,,,ALONEf7b9.zip,,ALONE_CRACKED144d.zip,,,,,,,,1395396621_r-games.net_1.png,1395396649_r-games.net_3.png,1395396582_r-games.net_4.png,1395396591_r-games.net_2.png,,,,,,,,
213,https://r-games.net/213-alterra-beysik.html,ALTERRA (БЕЙСИК),Возмилов Владимир,VFP,1993,БК0010-01 БЕЙСИК,Леталка-Стрелялка,1993,,,,"Вторая игра из сериала ""SERCHISTS OF SECRETS"" (первая игра Black Curse). Итак, Где-то в сверхскоплении галактик, центр которого находится в созвездии ДЕВЫ затерялась планета ALTERRA, с которого искатели получили загадочные сигналы. Есть ли на этой планете жизнь, или была ли она там, предстоит узнать, но для это придется преодолеть тысячи парсек космического пространства сквозь временной космический туннель, пролегающий вблизи планет, населенных как низшими, так и высшими формами жизни, охраняющими свое околопланетное пространство. Игра состоит из пяти этапов, в каждом своя форма жизни. Для перехода в следующий этап необходимо набрать 1000 очков истребляя врагов.",alterra_basicf0c5.zip,,,,,,,,,,1395392977_r-games.net_1.png,1395392989_r-games.net_2.png,1395392992_r-games.net_3.png,1395393014_r-games.net_4.png,1395392991_r-games.net_5.png,,,,,,,
20670,https://r-games.net/20670-amaurote-25d-shooter-game-v149.html,AMAUROTE 2.5D SHOOTER GAME,Польский Сергей & MAD Soft,AltPro,,БК0011М,Платформа,,,,Английский,"На город будущего напали гигантские насекомые. Ваша задача - их всех уничтожить. Для этой благородной цели у Вас есть боевая машина ""Арахнус"", радарное оборудование, связь с базой, 40 бомб и 5 миллионов долларов. Население покинуло город, армия бессильна - короче, все надежды только на Вас.",amaurote54a8.7z,,,,,,,,,,1303453036_1.jpg,1303453090_2.jpg,1303453092_3.,1303453049_4.jpg,,,,,,,,
751,https://r-games.net/751-american-races.html,AMERICAN RACES,"Меркулов А., Меркулов П., Панин Г.",PROGRAM AVANGARD,1991,БК0010,Ралли,1991,,,,"В начале игры вам нужно выбрать трассу - нажимая пробел, выберите город.",american_races9c2a.zip,,,,,,,,,,1340017433_1.jpg,1340017419_2.jpg,1297684050_1.jpg,1297684068_2.jpg,,,,,,,,
752,https://r-games.net/752-american-track.html,AMERICAN TRACK,S&M corp.,S&M corp.,,БК0010,Ралли,,,,,Гонки по американским дорогам на спортивном автомобиле.,american_track7c18.zip,,,,,,,,,,1340017095_1.jpg,1297684344_1.jpg,,,,,,,,,,
311,https://r-games.net/311-antix.html,ANTIX,Клуб MCS,,,БК0010,Аркада,,,,,"Ваша задача - отрезая резаком куски черной поверхности, закрасить >=75% площади. Отрезанный кусок закрашивается, если в нем нет красных шаров.",antix0e4c.zip,,,,,,,,,,1340044699_1.jpg,1340044765_2.jpg,,,,,,,,,,
312,https://r-games.net/312-apple.html,APPLE,FK,,,БК0010,Аркада,,,,,Управляя человечком с сачком необходимо поймать все яблоки падающие сверху,applee554.zip,,,,,,,,,,1340045133_1.jpg,1340045143_2.jpg,,,,,,,,,,
313,https://r-games.net/313-ark.html,ARK,OZ corp.,,,БК0010,Аркада,,,,,Одна из версий знаменитой игры Arkanoid.,arkbk77dc.7z,,,,,,,,,,1296716829_1.jpg,1296716893_2.jpg,1296716830_3.jpg,,,,,,,,,
314,https://r-games.net/314-arkanoid.html,ARKANOID,Сицкий С.,,1990,БК0010,Аркада,1990,,,,Цель игры - разбить все блоки и при этом не упустить шар.,arkanoidbkeab9.zip,,,,,,,,,,1296716995_1.jpg,1296717031_2.jpg,1296717046_3.jpg,,,,,,,,,
100,https://r-games.net/100-army-demo.html,ARMY (ДЕМО),STROGINO,STROGINO,,БК0010,Демо,,,,,,army_demo4617.zip,,,,,,,,,,1396000714_r-games.net_1.png,1396000702_r-games.net_2.png,1396000629_r-games.net_3.png,1396000689_r-games.net_4.png,1396000650_r-games.net_5.png,,,,,,,
214,https://r-games.net/214-assassin.html,ASSASSIN,Агапов Ю.В.,JVA corp.,1991,БК0010,Леталка-Стрелялка,1991.11.10,,,,"На суперновом аппарате типа ... Вам предстоит полет по суперсовременной пещере. Задача: уничтожить колбу с джином и вырваться на волю. Злые зюки, охраняющие колбу будут всячески мешать Вам.",assassin17b8.zip,,,,,,,,,,1395392377_r-games.net_1.png,1395392323_r-games.net_2.png,1395392324_r-games.net_3.png,1395392357_r-games.net_4.png,1395392324_r-games.net_5.png,,,,,,,
31700,https://r-games.net/31700-astro-antigravitator-demo.html,ASTRO (АНТИГРАВИТАТОР) (ДЕМО),ФЕНИКС,,,БК0010,Реклама,,,,,Демонстрационная версия игры ASTRO.,ASTRO-DEMO85d2.zip,,,,,,,,,,1370249873_1.png,1370249874_2.png,1370249842_3.png,,,,,,,,,
315,https://r-games.net/315-astrodrom.html,ASTRODROM,Панфилов А.И. Юрковец Д.И.,,1991,БК0010,Аркада,1991,,,,"Вы являетесь пилотом Советского космического корабля многоразового использования ""Буран"". Вам необходимо собрать кристаллы, расположенные на поле. По краям поля перемещаются ракетные установки враждебной цивилизации, которые пытаются Вас уничтожить своими ракетами. В секторе также находятся участки запретные для полета как Вашего корабля, так и для ракет противника. Имеются и участки запретные только для Вас. После успешного завершения программы полета Вы продолжаете выполнение поставленной задачи, но уже в другом секторе космоса.",astrodrom5f86.zip,,,,,,,,,,1340046134_1.jpg,1340046153_2.jpg,1340046163_1.jpg,,,,,,,,,
628,https://r-games.net/628-atari.html,ATARI,,,,БК0010,Лабиринт,,,,,Ваша задача - пройти 13 лабиринтов в заколдованном подземелье. Практически точная копия Boulder Dash с ZX SPECTRUMA.,atarid87e.zip,,,,,,,,,,1340783055_1.jpg,1297250097_2.jpg,1297250106_1.jpg,,,,,,,,,
28967,https://r-games.net/28967-atic-atac-lode-ranner.html,ATIC ATAC (LODE RANNER),Марков А.,ACTION,,БК0010,Лабиринт,,,,,На самом деле это обычный LODE RANNER только с приляпанной вначале картинкой-заставкой.,ATICATAC87a0.zip,,,,,,,,,,1349167862_1.jpg,1349167948_2.jpg,1349167823_3.jpg,,,,,,,,,
317,https://r-games.net/317-atomic-danger-beysik.html,ATOMIC DANGER (БЕЙСИК),S&P corp.,,,БК0010-01 БЕЙСИК,Аркада,,,,,"На очень, очень радиоактивном заводе случилась авария, управляя роботом Вам нужно пройти через все экраны и остаться в целости и сохранности.",atomic_basic21d2.zip,,,,,,,,,,1485171789_1.png,1485171827_2.png,1485171819_3.png,,,,,,,,,
20671,https://r-games.net/20671-attack.html,ATTACK,AG corp.,,,БК0010,Аркада,,,,,"Нашлось 2 версии игры, отличаются друг от друга заставкой и небольшими косметическими правками",attack1ed3e.zip,,attack915e.zip,,,,,,,,1487575155_2-1.png,1487575121_2-2.png,1487575111_2-3.png,1487575097_2-4.png,1487575114_2-5.png,1327928580_1.jpg,1303453851_1.jpg,1303453790_2.jpg,,,,
318,https://r-games.net/318-attack-to-the-earth-bk0011.html,ATTACK TO THE EARTH (БК0011М),"Андрей Жебраков (Star Software), Михаил Мочалов (MMV corp.)",TSN Computer,1997,БК0011М,Аркада,1997,Андрей Жебраков (Star Software),Михаил Мочалов (MMV corp.),,"ATTACK TO THE EARTH — это захватывающая игра для БК0011М, которая предлагает игрокам погрузиться в мир космических приключений и сражений. В этой игре вам предстоит взять на себя роль космического воина, который должен пройти через множество испытаний и сражений, чтобы спасти Землю от нашествия инопланетных захватчиков. Смысл игры заключается в том, чтобы убивать врагов и собирать предметы, которые помогут вам продвигаться дальше по уровням. Каждый уровень представляет собой новое испытание, которое требует от игрока максимальной концентрации и умения быстро принимать решения. По мере прохождения игры вы будете сталкиваться с различными врагами, каждый из которых имеет свои уникальные способности и атаки. Вам нужно будет научиться адаптироваться к их поведению и использовать свои навыки и оружие, чтобы победить их. Но самое интересное начинается, когда вы выполняете свою миссию и встречаетесь с боссом. Это финальное сражение, которое потребует от вас всех ваших навыков и умений.",attacktotheearth463e.zip,,,,,,,,,,1296723663_1.jpg,earth_1.png,1296723697_2.jpg,earth_2.png,earth_3.png,earth_4.png,earth_5.png,earth_6.png,earth_7.png,earth_8.png,,
102,https://r-games.net/102-attack-to-the-earth-reklama-bk0011m.html,ATTACK TO THE EARTH (РЕКЛАМА) (БК0011М),"Жебраков А. (STAR SOFTWARE), Михаил Мочалов (MMV corp.)","STAR SOFTWARE, MMV",,БК0011М,Реклама,,Михаил Мочалов (MMV corp.),,,Реклама игры ATTACK TO THE EARTH,attacktotheearthreklama9a65.zip,,,,,,,,,,1364213834_1.png,1364213852_1_1.png,1364213812_2.png,1364213866_3.png,1364213847_4.png,1364213795_5.png,,,,,,
753,https://r-games.net/753-atv.html,ATV,"Меркулов А., Меркулов П., Панин Г.",PROGRAM AVANGARD,,БК0010,Ралли,,,,,"Отличные гонки для БК, причем играть можно и вдвоём",atv78d3.zip,,,,,,,,,,1297684493_1.jpg,1297684561_2.jpg,1297684509_3.jpg,1297684487_4.jpg,,,,,,,,
754,https://r-games.net/754-auto-races-task.html,AUTO RACES (TASK),Агеенко В.,ЭКП БэКашник,1993,БК0010,Ралли,1993.01.14,,,,Первая часть многосерийной игры TASK. Ваша конечная цель - освобождение заложника. Осуществлению Вашей задачи будут мешать множество препятствий. Все началось в одном малоизвестном городке. Вы получили письмо с вышеописанным заданием. Теперь Вам предстоит срочно добраться до ближайшего аэродрома на Вашем автомобиле для продолжения пути.,task4bad.zip,,,,,,,,,,1340016834_1.jpg,1297684774_1.jpg,1297684741_2.jpg,,,,,,,,,
319,https://r-games.net/319-baby.html,BABY,Медведев М.Д.,MDM & LSP corp.,1989,БК0010,Аркада,1989.10.28,,,,"Смысл этой игры в том, чтобы управляя санитарами переправить в машину скорой помощи как можно больше детей.",babya6f3.zip,,,,,,,,,,1394624760_1.png,1394624763_2.png,1394624758_3.png,1394624820_4.png,,,,,,,,
494,https://r-games.net/494-baby-boom.html,BABY BOOM,"А.Лимонов, Н. Мубинов",,1994,БК0010,Логическая,1994,,,,"Игра представляет из себя разновидность тетриса, поэтому мы надеемся Вы сами разберетесь в правилах игры.",babyboom8c46.7z,,,,,,,,,,1487577676_1.png,1487577649_2.png,1487577697_3.png,,,,,,,,,
48339,https://r-games.net/48339-babytype.html,BABYTYPE,"Головин Н., Головин Н., Порфирьев Д., Филиппов А.",Golden Cat Corp.,1996,БК0011М,"Аркада, Лабиринт",1996,"Головин Н., Порфирьев Д., Филиппов А.",,,"Клавиатурный тренажер-игра, созданный по мотивам игры с IBM PC - BabyType. Поможет в освоении и тренировке слепому десятипальцевому методу печати в игровой форме. Игра представляет собой ""бродилку"" по 16 лабиринтам с клавиатурными текстами между ними. Вы должны уничтожать все буквы в лабиринте, гася зажигающиеся клавиши, и выйти в дверь, если таковая имеется. Во время игры Вас будут преследовать наглые живые мухи, не живые бурильные аппараты и совсем наглые мало живые головы.",bt5854.zip,,,,,,,,,,1631691073_1.png,1631691073_2.png,1631691074_3.png,1631691024_4.png,1631691081_5.png,,,,,,,
193,https://r-games.net/193-ballkeeper.html,BALLKEEPER,Дженгуров Г.В.,АКТ,,БК0010,Спортивная,,,,,Ваша задача забить 100 мячей в корзину.,ballkeepercb74.7z,,,,,,,,,,1381305006_1.png,1381304988_2.png,1381304967_3.png,,,,,,,,,
320,https://r-games.net/320-bally.html,BALLY,Бортник Борис,BIL corp.,1990,БК0010,Аркада,1990,,,,"Начало космо-приключенческой серии от Bil corp, в оригинале было название Diday. Продолжение - Second.",bally8a32.zip,,,,,,,,,,1296724051_1.jpg,1296724026_2.jpg,1296723993_3.jpg,1296724066_4.jpg,1296724043_5.jpg,,,,,,,
321,https://r-games.net/321-barbarian.html,BARBARIAN,Soft of Future (S.O.F),CHEK,1992,БК0010,Аркада,1992,,,,"В этой игре Вам необходимо ходить по лабиринтам и собирать (тушить) факелы. После нахождения одного факела, его необходимо 'отнести' в комнату, при захождении в которую на экране будет показано, сколько факелов Вам осталось собрать. Игра проходится ровно за 10 минут. Если Вам хочется сразу посмотреть концовку, загрузите файл BARB.END и запустите с адреса S35244",barbarian6991.zip,,BARBARIANfd6a.zip,,,,,,,,1365876967_1.png,1365876944_2.png,1365876993_3.png,1365876981_4.png,1365876958_5.png,1365876964_6.png,1365876910_7.png,1365876954_8.png,,,,
103,https://r-games.net/103-big-demo-bk0011m.html,BIG DEMO (БК0011М),"Подковыров Р.С., Кудин С.Ю.",ATLANTIC SOFTWARE,1994,БК0011М,Демо,1994,,,,"Большая демонстрационная программа в которой собраны различные карикатуры, актуальные в 1994",bigdemoea98.zip,,,,,,,,,,1396000128_r-games.net_1.png,1396000138_r-games.net_2.png,1396000201_r-games.net_3.png,1396000156_r-games.net_4.png,,,,,,,,
495,https://r-games.net/495-bigchess.html,BIGCHESS,Ивашинников С.,,1991,БК0010,Логическая,1991.02.15,,,,,BIGCHESS86bc.zip,,bigchess736c.zip,,,,,,,,1339758807_1.jpg,,,,,,,,,,,
875,https://r-games.net/875-biker-mice-from-mars-beysik.html,BIKER MICE FROM MARS (БЕЙСИК),,,,БК0010-01 БЕЙСИК,,,,,,"Эта игра разработана по мотивам известного мультика. В игре участвуют 3 мышонка: Винни (белый #0), Дроссель (серый #1) и Модо (черный #2). Кроме них, на поле есть стены, канистры ($$), космический корабль и ЛЕВ. В начале игры у каждой мышки - по 5 литров топлива. В конце игры у всех мышей должно быть вместе 50 или более литров топлива, иначе не взлетит космический корабль. Кроме того, к моменту взлета должен быть убит ЛЕВ. Варианты хода таковы:",biker-mice-from-mars-for-basic371c.zip,,,,,,,,,,1297854738_1.jpg,,,,,,,,,,,
20813,https://r-games.net/20813-bilateral-stamp-demo.html,BILATERAL STAMP (ДЕМО) (БК0011М),Чистяков Александр,BILATERAL STAMP,1996,БК0011М,Демо,1996,,,,"Демонстрационная программа в которой можно посмотреть геймплей нескольких игр WHITE THUNDER 2, SHOOTING, PLANET OF SANXION, OVERKILL.",blstamp-demo2a9b.zip,,,,,,,,,,1315201000_1.jpg,1315201007_2.jpg,1315201037_3.jpg,1315201085_4.jpg,1315201065_5.jpg,,,,,,,
876,https://r-games.net/876-biowar.html,BIOWAR,"Филиппов Алексей, Ноянов Юрий",APH corp,1990,БК0010,,1990,,,,"На Марсе продолжается химическая биовойна двух конкурирующих компаний, уничтожающих друг у друга плантации кактусов. Ваша задача - победить в конкурентной борьбе. Игра для 2-х человек.",biowara4a9.zip,,,,,,,,,,1487581873_1.png,1487581853_2.png,1487581869_3.png,1487581818_4.png,,,,,,,,
104,https://r-games.net/104-bird-demo.html,BIRT (ДЕМО),FENIKS corp.,,,БК0011М,Демо,,,,,"Честно говоря непонятно к какому разделу отнести этот шедевр, посмотрите, поймете сами. Автор явно недолюбливает Москву.",birddemocf0e.zip,,,,,,,,,,1395999527_r-games.net_1.png,1395999540_r-games.net_2.png,1395999493_r-games.net_3.png,,,,,,,,,
496,https://r-games.net/496-black-box.html,BLACK BOX,Кочнов С.В.,,1994,БК0010,Логическая,1994,,,,Чёрный (непрозрачный) ящик содержит игровую доску размером 8 на 8 клеток. По доске разбросанно несколько шаров. Ваша цель: определить в каких клетках расположены шары.,blackbox.sk2c968.zip,,,,,,,,,,1342092991_1.jpg,1297145896_1.jpg,,,,,,,,,,
629,https://r-games.net/629-black-curse-beysik.html,BLACK CURSE (БЕЙСИК),"Возмилов В.Ю., Хон Д.А.",UFP,,БК0010-01 БЕЙСИК,Лабиринт,,,,,"Первая игра из серии ""SEARCHISTS OF SECRETS"".",black_basicafbd.zip,,,,,,,,,,1340782756_1.jpg,1297319305_1.jpg,,,,,,,,,,
823,https://r-games.net/823-black-jack.html,BLACK JACK,JUZEPPE corp.,,1993,БК0010,Азартная,1993,,,,"Ваша задача набрать максимальное количество очков и тогда Вы увидите приз - картинку. Правила игры просты - вы жмете на кнопку и Вам выпадают разные комбинации, в соответствии с которыми Вам начисляются или у Вас отнимаются очки.",black_jack148a.zip,,,,,,,,,,1297837686_1.jpg,,,,,,,,,,,
